bandwidth,n,jump_coef,jump_pval,jump_sig,kink_coef,kink_pval,kink_sig
3,21659,8084.497124594993,0.001354657544197219,True,7188.387678576162,0.009319056111653049,True
6,37276,9611.973431508177,7.347444787442333e-07,True,3624.771867552795,0.0035249155977846564,True
9,40438,12007.426788412304,2.933285380721259e-10,True,4470.359736709013,0.00020117625527865638,True
12,40438,12007.426788412304,2.933285380721259e-10,True,4470.359736709013,0.00020117625527865638,True
