segment,train_r2,test_r2,test_mae,test_rmse,directional_accuracy,n_train,n_test,n_features
Mass Market,0.999955523686492,0.8555073465125206,6.696679758625448,49.99024632486691,96.43931192108745,31191,16626,26
Mid Market,0.9999954019703691,0.7257645942282485,93.37069573980519,387.1999607485521,94.24523181888665,68863,51592,28
Luxury,0.9994741334007292,0.30066706657249453,83.80005513814623,303.6987603035657,92.28171731789678,3715,2073,28
