lease_decade,median_psm,transaction_count,avg_completion_year,min_completion_year,max_completion_year
40.0,5333.333333333333,6678,1970.6564839772386,1966,1981
50.0,5264.705882352941,34455,1978.679785227108,1968,1986
60.0,4731.707317073171,54661,1986.2885421049743,1978,1996
70.0,4847.889655172414,46986,1997.5904737581407,1988,2006
80.0,5311.111111111111,29604,2006.0832319956762,1997,2016
90.0,6215.05376344086,51250,2015.944312195122,2008,2021
