Model,R² (Train),R² (Test),MAE (Test),RMSE (Test),Directional Acc (%)
Ridge,,0.9999999665672212,0.04564144591074081,0.0829468547142181,
OLS,0.9999767139968695,0.9999999665632999,0.04564637233069115,0.08295171902840741,95.85237280780129
Lasso,,0.9999976750954774,0.06541208317265942,0.6916975644534772,
XGBoost,,0.4683445486022406,58.45106047558006,330.7720622864536,89.48957189901208
