segment,n_samples,ci_95_lower,ci_95_upper,ci_95_width,actual_coverage
HDB,76105,-7.495025880875119,11.080454959040017,18.575480839915137,95.24604165297944
EC,10360,-6.756392342703691,43.39061482747394,50.14700717017763,95.17374517374517
Mass Market,16566,-25.425388689683647,15.050602456797705,40.47599114648135,95.03199323916456
Mid Market,51588,-340.91134482935854,1536.966064453125,1877.8774092824835,95.15391176242537
Luxury,2073,-909.521240234375,166.71733398437505,1076.23857421875,95.27255185721177
