bandwidth,n,tau,r2,p_value,significant
100,15728,34.17769447252418,0.36964351682831365,1.650510872020887e-18,True
150,28298,14.02528956306839,0.4457976214421725,4.930089430324463e-06,True
200,52881,-79.47128585329565,0.2942407027214775,2.1565180461847836e-200,True
250,60899,-85.41350065190596,0.42592084073246517,2.2966958701871447e-221,True
300,68604,-35.19079952066034,0.38245522407106103,1.761182969184872e-48,True
