feature,importance,target,model
momentum_signal_moderate_deceleration,7.1080666e-07,price_psf,xgboost
storey_range_13 TO 15,5.6513267e-07,price_psf,xgboost
storey_range_49 TO 51,5.581021e-07,price_psf,xgboost
momentum_signal_strong_acceleration,3.2542482e-07,price_psf,xgboost
momentum_signal_stable,2.4520762e-07,price_psf,xgboost
flat_type_MULTI GENERATION,2.076477e-07,price_psf,xgboost
flat_type_MULTI-GENERATION,1.4399502e-07,price_psf,xgboost
momentum_signal_moderate_acceleration,9.316097e-08,price_psf,xgboost
storey_range_36 TO 40,0.0,price_psf,xgboost
flat_model_MODEL A-MAISONETTE,0.0,price_psf,xgboost
flat_model_Apartment,0.0,price_psf,xgboost
flat_model_Adjoined flat,0.0,price_psf,xgboost
