cluster_kmeans,cluster_kmeans_mean,cluster_kmeans_std,cluster_kmeans_count,cluster_kmeans_min,cluster_kmeans_max,price_psf_mean,price_psf_std,price_psf_count,price_psf_min,price_psf_max,rental_yield_pct_mean,rental_yield_pct_std,rental_yield_pct_count,rental_yield_pct_min,rental_yield_pct_max,yoy_change_pct_mean,yoy_change_pct_std,yoy_change_pct_count,yoy_change_pct_min,yoy_change_pct_max,floor_area_sqft_mean,floor_area_sqft_std,floor_area_sqft_count,floor_area_sqft_min,floor_area_sqft_max,transaction_count_mean,transaction_count_std,transaction_count_count,transaction_count_min,transaction_count_max,remaining_lease_months_mean,remaining_lease_months_std,remaining_lease_months_count,remaining_lease_months_min,remaining_lease_months_max,cluster_size,cluster_percentage,segment_name
0,0.0,0.0,12038,0,0,570.3896749029768,91.9781495042882,12038,331.7938100546796,974.7123075704687,5.539633160773849,0.8557748305714963,12038,2.9200463499420626,9.637305699481866,8.270748921921985,94.75126573686117,12038,-76.19047619047619,1800.0,1327.6646475161986,179.3880416974315,12038,936.468,2615.652,71.70834025585646,33.93358454480861,12038,2.0,188.0,786.3935039043031,98.11677211199526,12038,501.0,1132.0,12038,12.601145178005046,Large Size Stable
1,1.0,0.0,31504,1,1,509.0805221754018,74.01769222517089,31504,289.63647889479097,778.6094742616482,5.966220588505933,0.738367498611106,31504,4.6,8.509615384615385,24.418406532175737,96.90301713720656,31504,-54.15162454873646,776.1904761904763,1173.8554738445912,210.28429638271413,31504,473.616,2066.688,171.69489588623668,39.18068359571112,31504,69.0,279.0,957.8864588623667,133.69892457879152,31504,594.0,1150.0,31504,32.97777684730611,High Growth Recent
2,2.0,0.0,5468,2,2,550.4501892731971,76.86957715164557,5468,309.674222717701,936.6376080559974,5.221546402062531,1.0037718208474253,5468,2.9200463499420626,8.114754098360656,83.9349477726705,241.18205125591032,5468,-50.0,1800.0,808.4561260424287,168.20475951599056,5468,333.68399999999997,1657.656,89.26316752011705,39.211587819689726,5468,4.0,236.0,673.5098756400878,88.09230993578106,5468,488.0,1139.0,5468,5.723796463975045,Speculator Hotspots
3,3.0,0.0,11866,3,3,564.0134650848325,67.86385977796067,11866,357.31641082811655,899.0541949868739,5.68898133416632,1.0744011019877162,11866,3.216494845360825,9.637305699481866,-3.634214068688603,34.455499806017556,11866,-76.19047619047619,840.0,743.2928437215575,109.36529678018884,11866,333.68399999999997,1119.456,61.88412270352267,25.174632662372776,11866,2.0,187.0,644.2886398112254,62.558764558320526,11866,482.0,1133.0,11866,12.421098910301367,Declining Areas
4,4.0,0.0,24189,4,4,462.75652126231364,65.47835946913827,24189,248.94199651481205,775.8870635124816,6.356787489237192,0.8999438282202159,24189,4.4609665427509295,9.637305699481866,27.75035978383271,109.77583584021984,24189,-54.15162454873646,1040.0,951.1323424531811,206.67942446928188,24189,430.55999999999995,1754.532,115.04477241721443,38.65157446141054,24189,12.0,233.0,767.713051386994,113.494507335697,24189,483.0,1149.0,24189,25.320576566768903,Mid-Tier Value
5,5.0,0.0,10466,5,5,826.4619362033773,141.220882873132,10466,582.8445866253049,1365.5513917431153,5.678512361424975,0.9253894094978315,10466,3.371051655748205,9.637305699481866,12.288696455054536,94.81612313787011,10466,-54.15162454873646,1200.0,925.287776915727,187.89919554481457,10466,398.268,1420.848,101.64523218039366,44.411946571707254,10466,23.0,241.0,1069.550257978215,73.50548995445946,10466,507.0,1169.0,10466,10.95560603364353,Premium New Units
