region,baseline_24mo,bearish_24mo,bullish_24mo,confidence_95,n_years,scenario_spread
CCR,-6.580493946870819,-8.580493946870819,-4.580493946870819,29.111766409177186,5,4.0
OCR Central,2.4675663542597,0.46756635425969995,4.4675663542597,21.299668238023838,5,4.0
OCR East,1.2139199225979638,-0.7860800774020362,3.213919922597964,42.12570842901971,5,4.0
OCR North,-2.188424342445714,-4.188424342445714,-0.18842434244571393,27.012926339594173,5,4.0
OCR North-East,5.0105672475247305,3.0105672475247305,7.0105672475247305,38.794684883813645,5,4.0
OCR West,-0.09845584079046717,-2.098455840790467,1.9015441592095328,38.73494862861557,5,4.0
RCR,-2.1712634842221545,-4.1712634842221545,-0.17126348422215454,39.39766416879998,5,4.0
