region,baseline,bearish,bullish,confidence,scenario_spread
CCR,-0.48848309637810483,-1.9884830963781048,1.5115169036218952,28.2257019884496,3.5
OCR Central,2.53318314051479,1.0331831405147902,4.53318314051479,16.24529931786163,3.5
OCR East,0.6582491187660282,-0.8417508812339718,2.658249118766028,35.67722215368397,3.5
OCR North,5.33258212169901,3.8325821216990104,7.33258212169901,54.37032348921781,3.5
OCR North-East,6.597269245655843,5.097269245655843,8.597269245655843,67.7550376608258,3.5
OCR West,6.407017898570384,4.907017898570384,8.407017898570384,59.86961015570725,3.5
RCR,-0.41138589032215966,-1.9113858903221597,1.5886141096778403,55.52514311018601,3.5
