era,property_type,count,median_price,mean_price,median_price_psf
pre_covid,Condominium,28357,1448000.0,1789413.9836019324,1607.0
pre_covid,EC,4091,1150000.0,1185549.8479589343,1090.0
pre_covid,HDB,709375,275000.0,294044.554052652,259.5141652892562
recent,Condominium,81219,1734000.0,2030768.9080018222,1953.0
recent,EC,12735,1430000.0,1465313.5804475853,1344.0
recent,HDB,76020,550000.0,582774.6577758485,540.6069809523809
