town,price_psm_median,price_psm_mean,rental_yield_pct_mean,price_growth_yoy,mom_change_pct_mean,investor_score,investor_rank,value_score,value_rank,momentum_score,momentum_rank,affordability_score,affordability_rank,liquidity_score,liquidity_rank,price_psm_count,market_activity_score
EC - TENGAH GARDEN WALK,14425.41,14425.75,,,,,,0.6671644784022894,89.0,,,0.6671644784022894,95.0,0.04341498908561727,34.0,638,
EC - UPPER SERANGOON VIEW,11932.3,12254.54,,,,,,0.7519004421846164,41.0,,,0.7519004421846164,53.0,0.008327269787371656,98.0,204,
EC - WESTWOOD AVENUE,11979.17,11634.75,,,,,,0.750307421971919,43.0,,,0.750307421971919,55.0,0.015603524941385722,78.0,294,
EC - WOODLANDS AVENUE 5,12528.74,12555.28,,,,,,0.7316286057079542,51.0,,,0.7316286057079542,61.0,0.0084081170668607,97.0,205,
EC - WOODLANDS AVENUE 6,11367.52,11729.28,,,,,,0.7710962167894202,33.0,,,0.7710962167894202,45.0,0.004689142210364621,124.5,159,
EC - WOODLANDS CRESCENT,8695.65,8619.09,,,,,,0.861907885569011,7.0,,,0.861907885569011,26.0,0.0034764330180289435,141.5,144,
EC - WOODLANDS DRIVE 16,10615.38,10717.98,,,,,,0.7966599936782215,20.0,,,0.7966599936782215,34.0,0.021667070903064113,62.0,369,
EC - WOODLANDS DRIVE 72,8483.33,8404.04,,,,,,0.8691242297456674,5.0,,,0.8691242297456674,25.0,0.0014552510308028135,173.0,119,
EC - WOODLANDS VIEW,13565.38,13486.45,,,,,,0.6963952267173317,78.0,,,0.6963952267173317,84.0,0.0020211819872261298,165.0,126,
EC - YIO CHU KANG ROAD,19654.31,19684.29,,,,,,0.489444329262697,150.0,,,0.489444329262697,151.0,0.0006467782359123616,190.0,109,
EC - YISHUN AVENUE 11,11261.26,10918.63,,,,,,0.7747077876834081,31.0,,,0.7747077876834081,43.0,0.00048508367693427115,193.5,107,
EC - YISHUN CLOSE,14104.17,14124.15,,,,,,0.6780828017034815,85.0,,,0.6780828017034815,91.0,0.04155550165736923,36.0,615,
EC - YISHUN STREET 51,13368.42,13182.91,,,,,,0.7030895143446594,71.0,,,0.7030895143446594,78.0,0.026275365833939687,56.5,426,
GEYLANG,5800.16,6106.15,6.21,54.96086257836469,28.94,0.521126751951064,14.0,0.804649777700769,18.0,0.6497576801207645,2.0,0.9603199635648033,15.0,0.1857062009863368,17.0,2398,0.2728687545870643
HOUGANG,5315.79,5349.56,5.9,54.0887154061384,12.83,0.5829423959789678,10.0,0.7496158690652431,44.0,0.39477063286041775,13.0,0.9767827585386495,8.0,0.4605061039696014,9.0,5797,0.6011029554958216
JURONG EAST,5052.91,5034.62,7.07,50.12170613714496,25.62,0.5867250291197089,8.0,0.9928587694284228,1.0,0.5537837752293189,5.0,0.9857175388568457,5.0,0.12652599240035572,21.0,1666,0.20884412899365487
JURONG WEST,4632.69,4598.09,6.83,49.52103761544698,20.49,0.7217548888695839,2.0,0.9510204081632653,3.0,0.46957695966205604,8.0,1.0,1.0,0.38378203573449754,10.0,4848,0.7230892383439501
KALLANG/WHAMPOA,6307.69,7054.44,5.34,74.19218053007015,15.52,0.5483400540016803,13.0,0.6184737781102904,109.0,0.6233527428746553,4.0,0.9430700052001727,19.0,0.250464871857062,14.0,3199,0.3511426109846328
MARINE PARADE,6538.7,6604.67,6.3,20.543561705746942,34.71,0.2448023431402976,20.0,0.8104663549800027,16.0,0.4174072939013178,11.0,0.93521842424572,20.0,0.041312959818902095,37.0,612,0.048692743706607394
PASIR RIS,5219.05,5294.18,5.47,47.22982411523275,18.92,0.3911786205811652,17.0,0.6635047693220193,91.0,0.4241654531306808,10.0,0.9800707631338348,7.0,0.35297922224917133,11.0,4467,0.32917025597560773
PUNGGOL,5927.88,5984.11,5.75,45.630524393202904,7.47,0.6207575180837331,6.0,0.708601749386082,66.0,0.23380809457187773,22.0,0.9559790089762458,17.0,0.8808311100331474,3.0,10996,0.9334318753115257
QUEENSTOWN,6123.08,6694.82,5.02,30.377005105638943,13.49,0.21649018399825523,21.0,0.5563049232254886,127.0,0.18389315167935644,24.0,0.9493445403285286,18.0,1.0,1.0,12470,0.30291174055221887
SEMBAWANG,5122.51,5199.78,6.1,62.75999542886358,15.84,0.5832521203819313,9.0,0.7937168013853808,24.0,0.5217093334281695,7.0,0.9833519701177006,6.0,0.2062414099765543,15.0,2652,0.35876847352729185
SENGKANG,5669.64,5794.72,5.85,45.79099571717439,8.02,0.6575493867583883,5.0,0.7333984505191813,49.0,0.2437314991272439,20.0,0.9647560847118323,13.0,0.7206726493653488,4.0,9015,1.0
SERANGOON,5820.9,5865.6,5.78,49.552361000622916,40.1,0.3965032846898397,16.0,0.7165422195130426,60.0,0.7703592369252568,1.0,0.9596150512709833,16.0,0.16961759236801682,19.0,2199,0.17532199246390356
TAMPINES,5333.33,5357.25,5.71,49.99842416940625,10.61,0.6043443245493837,7.0,0.7105422836048065,64.0,0.3226317344081937,17.0,0.9761866080259397,9.0,0.5268817204301075,7.0,6618,0.8191020084124178
TOA PAYOH,5626.79,6133.61,5.69,38.328900676052584,9.73,0.3744846226277587,18.0,0.7014735834072805,72.0,0.2003883673149309,23.0,0.96621247293701,12.0,0.12199854474896919,22.0,1610,0.35520385525082493
WOODLANDS,5000.0,5002.4,6.17,56.353895460729056,10.53,0.7020360580203132,3.0,0.810084454077939,17.0,0.3806382536543044,14.0,0.9875158469313883,3.5,0.8975664968873798,2.0,11203,0.8059573367567716
YISHUN,5000.0,4988.35,6.37,55.39196276762887,12.41,0.7228022594076898,1.0,0.8509007806085512,8.0,0.40048097843180985,12.0,0.9875158469313883,3.5,0.5505699733203978,6.0,6911,0.8045535293844924
