town,price_psm_median,price_psm_mean,rental_yield_pct_mean,price_growth_yoy,mom_change_pct_mean,investor_score,investor_rank,value_score,value_rank,momentum_score,momentum_rank,affordability_score,affordability_rank,liquidity_score,liquidity_rank,price_psm_count,market_activity_score
Condo - DEPOT ROAD,14674.26,14141.73,,,,,,0.658706550518148,94.0,,,0.658706550518148,99.0,0.0014552510308028135,173.0,119,
Condo - DOVER RISE,13444.44,13485.1,,,,,,0.7005057422821621,73.0,,,0.7005057422821621,79.0,0.0017786401487589942,168.0,123,
Condo - DUNEARN ROAD,30268.52,27205.7,,,,,,0.12868795905118946,199.0,,,0.12868795905118946,199.0,0.012046244643867735,87.0,250,
Condo - EAST COAST ROAD,17727.27,17948.29,,,,,,0.55494067384721,129.0,,,0.55494067384721,131.0,0.0003233891179561808,198.5,105,
Condo - ELIAS ROAD,10892.33,11199.64,,,,,,0.7872470014037067,28.0,,,0.7872470014037067,40.0,0.0031530439000727628,149.5,140,
Condo - EWE BOON ROAD,30327.87,27518.03,,,,,,0.1266707678921627,200.0,,,0.1266707678921627,200.0,0.0014552510308028135,173.0,119,
Condo - FERNVALE CLOSE,13297.87,13307.37,,,,,,0.7054873717375714,68.0,,,0.7054873717375714,75.0,0.003880669415474169,132.0,149,
Condo - FERNVALE ROAD,14185.91,14291.28,,,,,,0.6753046179572498,87.0,,,0.6753046179572498,93.0,0.004284905812919395,127.5,154,
Condo - FLORA DRIVE,11788.62,12235.4,,,,,,0.7567838461564607,39.0,,,0.7567838461564607,51.0,0.050933786078098474,29.0,731,
Condo - FLORA ROAD,10471.19,10359.03,,,,,,0.8015607315589302,19.0,,,0.8015607315589302,33.0,0.006710324197590751,110.0,184,
Condo - FOURTH AVENUE,26275.68,26314.8,,,,,,0.2643968309536029,185.0,,,0.2643968309536029,185.0,0.013824884792626729,81.5,272,
Condo - GUILLEMARD ROAD,19621.21,18621.6,,,,,,0.49056933393605484,149.0,,,0.49056933393605484,150.0,0.005416767725766028,118.0,168,
Condo - HANDY ROAD,28726.67,28545.87,,,,,,0.18109244411513803,194.0,,,0.18109244411513803,194.0,0.003395585738539898,144.5,143,
Condo - HARBOURFRONT AVENUE,24639.78,24957.39,,,,,,0.31999789274049106,179.0,,,0.31999789274049106,179.0,0.024011642008246424,60.0,398,
Condo - HILLVIEW AVENUE,13534.48,13305.39,,,,,,0.6974454576661762,76.0,,,0.6974454576661762,82.0,0.011318619128466326,90.0,241,
Condo - HILLVIEW RISE,17663.04,17392.81,,,,,,0.5571237267224297,126.0,,,0.5571237267224297,129.0,0.04268736357021586,35.0,629,
Condo - HOLLAND ROAD,27259.65,26023.59,,,,,,0.23095360290393951,191.0,,,0.23095360290393951,191.0,0.02069690354919557,65.0,357,
Condo - HOLLAND VILLAGE WAY,29974.03,30001.41,,,,,,0.138697101838414,198.0,,,0.138697101838414,198.0,0.0014552510308028135,173.0,119,
Condo - HOUGANG AVENUE 2,18280.79,18340.92,,,,,,0.5361276047596875,137.0,,,0.5361276047596875,139.0,0.03193467539817285,45.0,496,
Condo - HOUGANG AVENUE 7,15058.82,14306.83,,,,,,0.6456361034732395,99.0,,,0.6456361034732395,104.0,0.015118441264451452,79.0,288,
Condo - HOUGANG STREET 11,12522.12,12572.64,,,,,,0.7318536066426258,50.0,,,0.7318536066426258,60.0,0.004850836769342712,123.0,161,
Condo - HOW SUN DRIVE,23490.06,23651.43,,,,,,0.35907464117109245,177.0,,,0.35907464117109245,177.0,0.007195407874525022,105.5,190,
Condo - HUME AVENUE,14576.27,14509.52,,,,,,0.6620370401840793,92.0,,,0.6620370401840793,97.0,0.0014552510308028135,173.0,119,
Condo - IRWELL HILL,28819.67,29090.45,,,,,,0.17793155485162526,195.0,,,0.17793155485162526,195.0,0.032985690031530436,44.0,509,
Condo - JALAN EUNOS,20857.97,18655.11,,,,,,0.4485342650592581,158.0,,,0.4485342650592581,158.0,0.014067426631093864,80.0,275,
Condo - JALAN KEMAMAN,22850.57,22437.48,,,,,,0.3808096634842516,173.0,,,0.3808096634842516,173.0,0.0030721966205837174,153.0,139,
Condo - JALAN LEMPENG,18094.83,17857.13,,,,,,0.5424480237644491,135.0,,,0.5424480237644491,137.0,0.0370280540059827,39.0,559,
Condo - JALAN LOYANG BESAR,10801.93,12113.5,,,,,,0.7903195217200676,27.0,,,0.7903195217200676,39.0,0.00040423639744522596,196.0,106,
Condo - JERVOIS CLOSE,26233.62,25695.56,,,,,,0.26582636861406905,184.0,,,0.26582636861406905,184.0,0.002991349341094672,156.5,138,
Condo - JURONG LAKE LINK,16774.19,16655.48,,,,,,0.5873340108285949,118.0,,,0.5873340108285949,122.0,0.0027488075026275366,160.5,135,
Condo - KEPPEL BAY DRIVE,18795.18,19113.77,,,,,,0.518644488326802,141.0,,,0.518644488326802,142.0,0.0028296547821165816,159.0,136,
Condo - KEPPEL BAY VIEW,17745.69,18236.83,,,,,,0.554314613844695,130.0,,,0.554314613844695,132.0,0.007357102433503113,103.5,192,
Condo - KOVAN ROAD,14206.09,14402.23,,,,,,0.6746187389751241,88.0,,,0.6746187389751241,94.0,0.003799822135985124,134.5,148,
Condo - LAKESIDE DRIVE,13712.52,13742.76,,,,,,0.6913942240696619,80.0,,,0.6913942240696619,86.0,0.003314738459050853,146.0,142,
Condo - LEEDON HEIGHTS,28180.46,26018.44,,,,,,0.19965706050893717,192.0,,,0.19965706050893717,192.0,0.04519362923437626,32.0,660,
Condo - LENTOR CENTRAL,22689.18,22868.97,,,,,,0.3862949959384272,169.0,,,0.3862949959384272,169.0,0.03395585738539898,42.0,521,
Condo - LORONG HOW SUN,15436.24,15428.81,,,,,,0.6328083311524331,103.0,,,0.6328083311524331,108.0,0.0001616945589780904,201.5,103,
Condo - MAKEWAY AVENUE,26524.97,26417.05,,,,,,0.25592394832455867,187.0,,,0.25592394832455867,187.0,0.010348451774597785,92.5,229,
Condo - MARINA BOULEVARD,21331.54,22042.75,,,,,,0.4324385410966586,161.0,,,0.4324385410966586,161.0,0.0034764330180289435,141.5,144,
Condo - MARINA WAY,25854.41,26473.8,,,,,,0.27871497955618396,181.0,,,0.27871497955618396,181.0,0.003880669415474169,132.0,149,
Condo - MARINE PARADE ROAD,15776.52,16035.21,,,,,,0.6212428752536359,107.0,,,0.6212428752536359,112.0,0.004284905812919395,127.5,154,
Condo - MATTAR ROAD,19560.61,19306.72,,,,,,0.4926290101658277,148.0,,,0.4926290101658277,149.0,0.00792303338992643,100.0,199,
Condo - MEYAPPA CHETTIAR ROAD,19307.78,20076.53,,,,,,0.501222210515225,144.0,,,0.501222210515225,145.0,0.0052550731667879375,119.5,166,
Condo - MEYER ROAD,26778.63,24884.1,,,,,,0.247302537888186,188.0,,,0.247302537888186,188.0,0.020211819872261297,67.0,351,
Condo - MILTONIA CLOSE,11462.34,11424.66,,,,,,0.767873469262901,34.0,,,0.767873469262901,46.0,0.003961516694963215,130.0,150,
Condo - MOUNT VERNON ROAD,16333.33,16269.72,,,,,,0.6023179854599094,112.0,,,0.6023179854599094,116.0,0.0027488075026275366,160.5,135,
Condo - NEWTON ROAD,21929.82,21560.51,,,,,,0.41210416659585825,165.0,,,0.41210416659585825,165.0,0.0032338911795618077,147.5,141,
Condo - NORMANTON PARK,19511.4,19513.61,,,,,,0.4943015624309617,147.0,,,0.4943015624309617,148.0,0.1300832726978737,20.0,1710,
Condo - NORTHUMBERLAND ROAD,23334.98,23417.01,,,,,,0.36434550898814155,176.0,,,0.36434550898814155,176.0,0.019645888915837982,68.5,344,
Condo - OCEAN DRIVE,16992.19,17111.7,,,,,,0.5799246144904681,123.0,,,0.5799246144904681,127.0,0.00048508367693427115,193.5,107,
Condo - PASIR PANJANG ROAD,14793.16,15239.37,,,,,,0.654665370588775,95.0,,,0.654665370588775,100.0,0.002506265664160401,163.0,132,
Condo - PASIR RIS DRIVE 8,17528.93,17589.79,,,,,,0.5616818649926416,124.0,,,0.5616818649926416,128.0,0.02926671517503436,49.5,463,
Condo - PASIR RIS GROVE,12258.07,12393.97,,,,,,0.7408281529870404,47.0,,,0.7408281529870404,58.0,0.035815344813647024,40.0,544,
Condo - PASIR RIS LINK,11764.07,11944.33,,,,,,0.7576182529459148,38.0,,,0.7576182529459148,50.0,0.011561160966933463,88.0,244,
Condo - PEARL BANK,27243.59,27140.46,,,,,,0.23149945109288594,190.0,,,0.23149945109288594,190.0,0.018271485164524214,72.0,327,
Condo - PETIR ROAD,10714.29,11307.22,,,,,,0.7932982350002209,25.0,,,0.7932982350002209,38.0,0.0030721966205837174,153.0,139,
Condo - PHENG GECK AVENUE,16515.15,15766.74,,,,,,0.5961382770094588,116.0,,,0.5961382770094588,120.0,0.0014552510308028135,173.0,119,
Condo - PRINCE CHARLES CRESCENT,20500.0,19932.67,,,,,,0.46070096967925467,155.0,,,0.46070096967925467,156.0,0.004689142210364621,124.5,159,
Condo - PUNGGOL CENTRAL,15211.27,15109.83,,,,,,0.6404546242450402,100.0,,,0.6404546242450402,105.0,0.010186757215619695,94.0,227,
Condo - PUNGGOL WALK,12839.29,12657.67,,,,,,0.7210736147317832,59.0,,,0.7210736147317832,69.0,0.0011318619128466328,181.0,115,
Condo - RIFLE RANGE ROAD,22284.28,22373.06,,,,,,0.40005676005451685,168.0,,,0.40005676005451685,168.0,0.0013744037513137683,177.5,118,
Condo - RIVER VALLEY CLOSE,34054.79,33122.3,,,,,,0.0,203.0,,,0.0,203.0,0.01584606677985286,76.0,297,
Condo - RIVER VALLEY ROAD,22735.86,23766.02,,,,,,0.3847084334564834,171.0,,,0.3847084334564834,171.0,0.013178106556714366,84.0,264,
Condo - ROSEWOOD DRIVE,10098.76,10486.02,,,,,,0.8142189034773181,15.0,,,0.8142189034773181,32.0,0.013258953836203412,83.0,265,
Condo - SELETAR ROAD,12589.29,12448.24,,,,,,0.7295706288810112,52.0,,,0.7295706288810112,62.0,0.0012935564718247231,179.0,117,
Condo - SENGKANG SQUARE,13733.97,13137.98,,,,,,0.6906651802556583,81.0,,,0.6906651802556583,87.0,0.0052550731667879375,119.5,166,
Condo - SERANGOON AVENUE 3,14824.74,14817.18,,,,,,0.6535920277614446,96.0,,,0.6535920277614446,101.0,0.0014552510308028135,173.0,119,
Condo - SERANGOON NORTH AVENUE 1,16824.07,16949.71,,,,,,0.5856386865655409,119.0,,,0.5856386865655409,123.0,0.009378284420729242,95.0,217,
Condo - SHENTON WAY,20454.55,20709.1,,,,,,0.4622457268515844,154.0,,,0.4622457268515844,155.0,0.0008084727948904519,188.5,111,
Condo - SHUNFU ROAD,19340.14,19586.08,,,,,,0.500122357003749,145.0,,,0.500122357003749,146.0,0.005740156843722209,114.5,172,
Condo - SIGLAP ROAD,14524.98,14620.93,,,,,,0.663780287606935,90.0,,,0.663780287606935,96.0,0.001697792869269949,169.0,122,
Condo - SILAT AVENUE,24327.87,24268.86,,,,,,0.33059910747363386,178.0,,,0.33059910747363386,178.0,0.02926671517503436,49.5,463,
Condo - SIMEI RISE,9263.16,9371.93,,,,,,0.8426193235696976,9.0,,,0.8426193235696976,27.0,0.0032338911795618077,147.5,141,
Condo - SIMEI STREET 1,7898.91,8078.86,,,,,,0.8889875297820345,4.0,,,0.8889875297820345,24.0,0.00040423639744522596,196.0,106,
Condo - SIMEI STREET 3,10892.73,11301.36,,,,,,0.787233406181068,29.0,,,0.787233406181068,41.0,0.0008893200743794971,187.0,112,
Condo - SIMEI STREET 4,11610.17,11462.42,,,,,,0.7628490148561795,35.0,,,0.7628490148561795,47.0,0.0009701673538685423,185.0,113,
Condo - SIMS AVENUE,21130.43,20054.46,,,,,,0.4392738791588635,160.0,,,0.4392738791588635,160.0,0.003395585738539898,144.5,143,
Condo - SIMS DRIVE,17813.95,17774.89,,,,,,0.5519945891013898,132.0,,,0.5519945891013898,134.0,0.01778640148758994,73.0,321,
Condo - SIN MING WALK,14880.95,14692.44,,,,,,0.6516815591001321,97.0,,,0.6516815591001321,102.0,0.003718974856496079,136.0,147,
Condo - SLIM BARRACKS RISE,21383.56,21402.47,,,,,,0.4306704823924873,162.0,,,0.4306704823924873,162.0,0.0051742258872988925,121.0,165,
Condo - SOUTH BUONA VISTA ROAD,19806.11,19378.74,,,,,,0.4842849422712858,152.0,,,0.4842849422712858,153.0,0.0009701673538685423,185.0,113,
Condo - SPOTTISWOODE PARK ROAD,22222.21,19832.4,,,,,,0.40216639872748716,167.0,,,0.40216639872748716,167.0,0.0003233891179561808,198.5,105,
Condo - ST. THOMAS WALK,26910.32,26128.91,,,,,,0.2428266507149388,189.0,,,0.2428266507149388,189.0,0.0005659309564233164,191.5,108,
Condo - STIRLING ROAD,22190.48,20448.05,,,,,,0.40324483976330716,166.0,,,0.40324483976330716,166.0,0.008084727948904519,99.0,201,
Condo - TAMPINES AVENUE 1,11337.21,11321.64,,,,,,0.7721263947848727,32.0,,,0.7721263947848727,44.0,0.0030721966205837174,153.0,139,
Condo - TAMPINES LANE,15226.35,15304.55,,,,,,0.6399420843515589,101.0,,,0.6399420843515589,106.0,0.03969601422912119,38.0,592,
Condo - TAMPINES STREET 86,13563.22,13831.6,,,,,,0.6964686409195809,77.0,,,0.6964686409195809,83.0,0.018756568841458484,71.0,333,
Condo - TAN QUEE LAN STREET,29286.0,29923.58,,,,,,0.16208190441878723,196.0,,,0.16208190441878723,196.0,0.03007518796992481,48.0,473,
Condo - TANAH MERAH KECHIL LINK,21880.95,20089.69,,,,,,0.41376516292174925,163.0,,,0.41376516292174925,163.0,0.010348451774597785,92.5,229,
Condo - TANJONG RHU ROAD,16713.11,17071.18,,,,,,0.5894100013255341,117.0,,,0.5894100013255341,121.0,0.016573692295254263,75.0,306,
Condo - THOMSON ROAD,19375.0,21300.8,,,,,,0.4989375333507805,146.0,,,0.4989375333507805,147.0,0.0023445711051823105,164.0,130,
Condo - TOH TUCK ROAD,21000.0,19834.68,,,,,,0.4437069413807988,159.0,,,0.4437069413807988,159.0,0.03169213355970572,46.0,493,
Condo - UPPER CHANGI ROAD NORTH,16950.06,17121.97,,,,,,0.5813565313148958,121.0,,,0.5813565313148958,125.0,0.0034764330180289435,141.5,144,
Condo - UPPER EAST COAST ROAD,15555.56,15616.89,,,,,,0.6287528762392895,104.0,,,0.6287528762392895,109.0,0.004527447651386531,126.0,157,
