town,investor_rank,value_rank,momentum_rank,overall_rank
Condo - SOUTH BUONA VISTA ROAD,,152.0,,
Condo - SPOTTISWOODE PARK ROAD,,167.0,,
Condo - ST. THOMAS WALK,,189.0,,
Condo - STIRLING ROAD,,166.0,,
Condo - TAMPINES AVENUE 1,,32.0,,
Condo - TAMPINES LANE,,101.0,,
Condo - TAMPINES STREET 86,,77.0,,
Condo - TAN QUEE LAN STREET,,196.0,,
Condo - TANAH MERAH KECHIL LINK,,163.0,,
Condo - TANJONG RHU ROAD,,117.0,,
Condo - THOMSON ROAD,,146.0,,
Condo - TOH TUCK ROAD,,159.0,,
Condo - UPPER CHANGI ROAD NORTH,,121.0,,
Condo - UPPER EAST COAST ROAD,,104.0,,
Condo - UPPER PAYA LEBAR ROAD,,122.0,,
Condo - UPPER SERANGOON CRESCENT,,42.0,,
Condo - UPPER SERANGOON ROAD,,108.0,,
Condo - UPPER SERANGOON VIEW,,62.0,,
Condo - WEST COAST CRESCENT,,79.0,,
Condo - WEST COAST VALE,,114.0,,
Condo - WHAMPOA EAST,,115.0,,
Condo - YIO CHU KANG ROAD,,37.0,,
Condo - YISHUN CLOSE,,53.0,,
EC - ANCHORVALE CRESCENT,,75.0,,
EC - BUKIT BATOK WEST AVENUE 5,,113.0,,
EC - BUKIT BATOK WEST AVENUE 8,,110.0,,
EC - CANBERRA CRESCENT,,55.0,,
EC - CANBERRA DRIVE,,86.0,,
EC - CHOA CHU KANG AVENUE 3,,93.0,,
EC - CHOA CHU KANG AVENUE 5,,102.0,,
EC - CHOA CHU KANG GROVE,,98.0,,
EC - CHOA CHU KANG NORTH 6,,10.0,,
EC - CHOA CHU KANG STREET 64,,11.0,,
EC - COMPASSVALE BOW,,120.0,,
EC - EDGEDALE PLAINS,,74.0,,
EC - EDGEFIELD PLAINS,,36.0,,
EC - FERNVALE CLOSE,,63.0,,
EC - FERNVALE LANE,,65.0,,
EC - HOUGANG AVENUE 7,,23.0,,
EC - PASIR RIS LINK,,30.0,,
EC - PASIR RIS RISE,,45.0,,
EC - PASIR RIS STREET 72,,21.0,,
EC - PLANTATION CLOSE,,138.0,,
EC - PUNGGOL DRIVE,,69.0,,
EC - PUNGGOL FIELD WALK,,40.0,,
EC - PUNGGOL WALK,,54.0,,
EC - RIVERVALE LINK,,22.0,,
EC - SEGAR ROAD,,58.0,,
EC - SEMBAWANG CRESCENT,,82.0,,
EC - SENGKANG EAST AVENUE,,67.0,,
EC - SIMEI STREET 4,,13.0,,
EC - SUMANG WALK,,48.0,,
EC - TAMPINES AVENUE 8,,56.0,,
EC - TAMPINES CENTRAL 7,,83.0,,
EC - TAMPINES STREET 62,,139.0,,
EC - TAMPINES STREET 86,,57.0,,
EC - TAO CHING ROAD,,61.0,,
EC - TENGAH GARDEN WALK,,89.0,,
EC - UPPER SERANGOON VIEW,,41.0,,
EC - WESTWOOD AVENUE,,43.0,,
EC - WOODLANDS AVENUE 5,,51.0,,
EC - WOODLANDS AVENUE 6,,33.0,,
EC - WOODLANDS CRESCENT,,7.0,,
EC - WOODLANDS DRIVE 16,,20.0,,
EC - WOODLANDS DRIVE 72,,5.0,,
EC - WOODLANDS VIEW,,78.0,,
EC - YIO CHU KANG ROAD,,150.0,,
EC - YISHUN AVENUE 11,,31.0,,
EC - YISHUN CLOSE,,85.0,,
EC - YISHUN STREET 51,,71.0,,
