model,r2,mae,rmse
OLS,0.028196205163615984,28.402693768827614,51.11045003735022
Ridge,0.028196198191384636,28.402693663435006,51.11045022069684
Random Forest,0.18226019824693218,25.971363663290532,46.88435849086074
XGBoost,0.17301759095071179,25.92811410477359,47.14857220037986
