model_type,standard_cv_r2,spatial_cv_r2,generalization_gap,gap_pct
ols,0.04598603053873649,0.19003274920942698,-0.1440467186706905,-313.240166596576
rf,0.7422782168841616,-0.07417351923374531,0.8164517361179069,109.99268435292377
xgboost,0.7211147250097442,0.08728115520996782,0.6338335697997763,87.89635654593124
