flat_type,n,mean_price,mean_mrt_dist,mrt_coef,mrt_coef_100m,r2,mae
2 ROOM,1370,666.7782397411893,498.63516998812776,-0.042437091833684,-4.2437091833684,0.6620494800585099,44.966648897279924
3 ROOM,26838,552.475819534669,566.6045769152204,-0.039629281126969666,-3.9629281126969667,0.5231049777844122,57.24340145955177
5 ROOM,23564,531.4152083683324,487.746840627831,-0.02350192454443777,-2.350192454443777,0.16936758506073657,87.03613786918817
4 ROOM,38712,565.4558422712171,534.7078308541215,-0.01793298408727331,-1.793298408727331,0.37680513540732186,95.14758154883373
EXECUTIVE,6564,519.5441212887431,538.5104587461842,-0.010366516910009836,-1.0366516910009835,0.3826590544821665,50.15476934004166
