price_tier,n,mean_price,price_range,mrt_coef_100m,r2
Budget,24524,419.0555488295182,249-465,-0.7334331491201755,0.1984944703008814
Mid-Budget,24046,495.40870265113915,465-525,-0.28144141478167267,0.03984811730495519
Mid-Premium,24309,558.0513359261591,525-599,-0.348932705936376,0.017360122909489406
Premium,24254,736.4096712392342,599-1500,6.032429419439576,0.16172173643043097
