Model,R²,CBD Coef,MRT Coef,ΔR²
Model 1: CBD only,0.22627055983890376,-0.01460596347547363,,
Model 2: CBD + MRT,0.23405747117907671,-0.014447037959228609,-0.03798579978987459,0.007786911340172953
Model 3: Full,0.4976762077566438,-0.01954862632075903,0.012418352648426839,0.26361873657756707
