Region,n,R²,MRT Coef,MRT Premium $/100m,CBD Coef,CBD Premium $/km,Mean Price
CCR (Core Central),8136,0.7192231192518335,-0.04863096644623719,-4.863096644623719,-0.04305074814789497,-43.050748147894964,746.1224589959872
RCR (Rest of Central),54740,0.31984440130731107,-0.016819451205415795,-1.6819451205415794,-0.02464084804445733,-24.64084804445733,561.9994009523034
OCR (Outside Central),34257,0.3330755503112369,-0.006172487953254701,-0.6172487953254701,-0.00886089625187273,-8.86089625187273,489.87846280145214
