target,target_name,best_ols_spec,ols_r2,ols_mae,xgboost_r2,xgboost_mae
price_psf,Transaction Price (PSF),Log,0.5299687197733012,70.90162897847112,0.9115505510541769,31.20062931432818
rental_yield_pct,Rental Yield (%),Inverse,0.20251155917771513,0.6561631856328981,0.7801228744122419,0.30899446710717515
yoy_change_pct,YoY Appreciation (%),Linear,0.0038961626576446973,62.529989152703926,0.08423125981557789,59.88822121432992
