price_tier,n,mean_price,price_range,mrt_coef_100m,r2
Budget,49037,419.0529578580917,249-465,-0.7385532468658527,0.1985325823470253
Mid-Budget,48077,495.4080151647159,465-525,-0.28219580331601446,0.0398196935964541
Mid-Premium,48604,558.0529334116254,525-599,-0.34911879180356536,0.01740080925120413
Premium,48447,736.4610047455952,599-1500,6.021755571641125,0.16216066199723123
