feature,importance,target,model
town_GEYLANG,1.5370963042334658e-06,price_psm,random_forest
storey_range_40 TO 42,1.5319271462580743e-06,price_psm,random_forest
storey_range_31 TO 33,1.4466803659878398e-06,price_psm,random_forest
storey_range_43 TO 45,1.2787549097877696e-06,price_psm,random_forest
town_TOA PAYOH,1.1924405503109379e-06,price_psm,random_forest
storey_range_34 TO 36,1.0906590863360718e-06,price_psm,random_forest
town_SENGKANG,9.938143261971605e-07,price_psm,random_forest
flat_model_Apartment,9.529311524220031e-07,price_psm,random_forest
town_CLEMENTI,7.770542704647008e-07,price_psm,random_forest
flat_type_MULTI GENERATION,7.68267079518706e-07,price_psm,random_forest
town_SERANGOON,7.516060494246056e-07,price_psm,random_forest
flat_model_Model A-Maisonette,5.886451276235748e-07,price_psm,random_forest
storey_range_11 TO 15,4.5617492111189083e-07,price_psm,random_forest
storey_range_21 TO 25,3.371785500773797e-07,price_psm,random_forest
storey_range_16 TO 20,2.2781299784645423e-07,price_psm,random_forest
storey_range_49 TO 51,1.9210348491714437e-07,price_psm,random_forest
flat_model_MODEL A-MAISONETTE,1.2577768188482638e-07,price_psm,random_forest
flat_type_MULTI-GENERATION,1.0345683811315269e-07,price_psm,random_forest
storey_range_26 TO 30,6.762621978090843e-08,price_psm,random_forest
storey_range_36 TO 40,0.0,price_psm,random_forest
