feature,importance,target,model
hawker_within_500m,1.7816496e-06,price_psm,xgboost
flat_model_APARTMENT,1.3571624e-06,price_psm,xgboost
storey_range_13 TO 15,1.3116719e-06,price_psm,xgboost
momentum_signal_strong_deceleration,9.647723e-07,price_psm,xgboost
flat_type_MULTI-GENERATION,4.7282e-07,price_psm,xgboost
flat_model_MODEL A-MAISONETTE,3.8037012e-07,price_psm,xgboost
momentum_signal_stable,3.1524428e-07,price_psm,xgboost
momentum_signal_moderate_acceleration,1.661634e-07,price_psm,xgboost
storey_range_49 TO 51,0.0,price_psm,xgboost
storey_range_36 TO 40,0.0,price_psm,xgboost
flat_model_Apartment,0.0,price_psm,xgboost
