Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BOULEVARD 88,"6,437,000","1,776.06","3,624",Apr-21,ORCHARD BOULEVARD,New Sale,Strata,165,"39,012",-,Apartment,1,Freehold,10,Core Central Region,16 to 20
COASTLINE RESIDENCES,"2,720,000","1,130.22","2,407",Apr-21,AMBER ROAD,New Sale,Strata,105,"25,905",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SUNGLADE,"1,398,888","1,162.51","1,203",Apr-21,SERANGOON AVENUE 2,Resale,Strata,108,"12,953",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
TWIN VEW,"2,102,000","1,377.79","1,526",Apr-21,WEST COAST VALE,New Sale,Strata,128,"16,422",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
ORCHID PARK CONDOMINIUM,"990,000","1,248.62",793,Apr-21,YISHUN STREET 81,Resale,Strata,116,"8,534",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"831,000",484.38,"1,716",Apr-21,HOUGANG AVENUE 2,New Sale,Strata,45,"18,467",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
FOREST WOODS,"1,500,000",904.18,"1,659",Apr-21,LORONG LEW LIAN,Sub Sale,Strata,84,"17,857",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
FOREST WOODS,"1,500,000",914.94,"1,639",Apr-21,LORONG LEW LIAN,Sub Sale,Strata,85,"17,647",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
ONE AMBER,"2,220,000","1,334.74","1,663",Apr-21,AMBER GARDENS,Resale,Strata,124,"17,903",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
PARKVIEW APARTMENTS,"693,000",936.47,740,Apr-21,BUKIT BATOK STREET 25,Resale,Strata,87,"7,966",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,01 to 05
RIO VISTA,"1,080,000","1,248.62",865,Apr-21,UPPER SERANGOON VIEW,Resale,Strata,116,"9,310",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,01 to 05
WING FONG MANSIONS,"975,000","1,227.1",795,Apr-21,LORONG 14 GEYLANG,Resale,Strata,114,"8,553",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
