Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MORI,"1,405,000",721.19,"1,948",Jun-22,GUILLEMARD ROAD,New Sale,Strata,67,"20,970",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
RIVIERE,"2,358,000",818.06,"2,882",Jun-22,JIAK KIM STREET,New Sale,Strata,76,"31,026",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
35 GILSTEAD,"1,775,000",699.66,"2,537",Jun-22,GILSTEAD ROAD,New Sale,Strata,65,"27,308",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE WATERGARDENS AT CANBERRA,"1,995,000","1,302.44","1,532",Jun-22,CANBERRA DRIVE,New Sale,Strata,121,"16,488",-,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"1,330,000",516.67,"2,574",Jun-22,FOURTH AVENUE,New Sale,Strata,48,"27,708",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,850,450","1,022.58","1,810",Jun-22,COMPASSVALE BOW,New Sale,Strata,95,"19,478",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
MEYER MANSION,"3,732,000","1,496.2","2,494",Jun-22,MEYER ROAD,New Sale,Strata,139,"26,849",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,321,000",667.37,"1,979",Jun-22,HOUGANG AVENUE 2,New Sale,Strata,62,"21,306",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"2,262,000","1,345.5","1,681",Jun-22,HOUGANG AVENUE 2,New Sale,Strata,125,"18,096",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
BAYWIND RESIDENCES,"2,568,000","1,270.15","2,022",Jun-22,LORONG N TELOK KURAU,New Sale,Strata,118,"21,763",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,047,000",602.78,"1,737",Jun-22,HOUGANG AVENUE 2,New Sale,Strata,56,"18,696",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
REGENT HEIGHTS,"920,000","1,022.58",900,Jun-22,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95,"9,684",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
CANNINGHILL PIERS,"5,512,000","1,959.05","2,814",Jun-22,CLARKE QUAY,New Sale,Strata,182,"30,286",-,Apartment,1,99 yrs lease commencing from 2021,06,Rest of Central Region,11 to 15
CANNINGHILL PIERS,"1,678,400",484.38,"3,465",Jun-22,CLARKE QUAY,New Sale,Strata,45,"37,298",-,Apartment,1,99 yrs lease commencing from 2021,06,Rest of Central Region,46 to 50
THE REEF AT KING'S DOCK,"2,541,000","1,162.51","2,186",Jun-22,HARBOURFRONT AVENUE,New Sale,Strata,108,"23,528",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
NORMANTON PARK,"2,016,000","1,087.16","1,854",Jun-22,NORMANTON PARK,New Sale,Strata,101,"19,960",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,026,000","1,087.16","1,864",Jun-22,NORMANTON PARK,New Sale,Strata,101,"20,059",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
SKY EVERTON,"3,773,000","1,345.5","2,804",Jun-22,EVERTON ROAD,New Sale,Strata,125,"30,184",-,Apartment,1,Freehold,02,Rest of Central Region,21 to 25
RIVIERE,"3,068,000","1,173.28","2,615",Jun-22,JIAK KIM STREET,New Sale,Strata,109,"28,147",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,16 to 20
SIMS URBAN OASIS,"1,680,000",958,"1,754",Jun-22,SIMS DRIVE,Resale,Strata,89,"18,876",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
PARK COLONIAL,"1,372,000",635.08,"2,160",Jun-22,WOODLEIGH LANE,Sub Sale,Strata,59,"23,254",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15
THE POIZ RESIDENCES,"832,888",441.32,"1,887",Jun-22,MEYAPPA CHETTIAR ROAD,Resale,Strata,41,"20,314",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,11 to 15
D'LEEDON,"2,600,000","1,420.85","1,830",Jun-22,LEEDON HEIGHTS,Resale,Strata,132,"19,697",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
THE SIXTH AVENUE RESIDENCES,"2,930,000","1,431.61","2,047",Jun-22,SIXTH AVENUE,Resale,Strata,133,"22,030",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE GAZANIA,"3,558,000","1,819.12","1,956",Jun-22,HOW SUN DRIVE,New Sale,Strata,169,"21,053",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE INTERLACE,"1,605,000","1,065.64","1,506",Jun-22,DEPOT ROAD,Resale,Strata,99,"16,212",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,01 to 05
