property_type,train_r2,test_r2,test_mae,test_rmse,directional_accuracy,n_train,n_test,n_features
EC,0.9999930884844311,0.9845599813502097,4.569968461539019,16.084997018909647,97.11404034351906,15075,10014,20
HDB,0.9996437250110444,0.7978181584806195,6.693484920396161,76.21633692232587,99.36507520913244,176523,76387,51
Condo,0.9999909794939056,0.32360882089311704,118.39919307959725,530.0942489410129,96.94697756469533,103769,70291,19
