property_type,pre_covid_premium,covid_premium,post_covid_premium,covid_change_pct,post_covid_change_pct
HDB,-5.652277247858835,-5.212035265723512,-5.5656001624131815,7.788754210563412,-6.7836244128058345
Condominium,,-34.97523436085555,-33.450890550202374,,4.358351955345955
EC,,-1.1068033430222286,-20.927675468816734,,-1790.8214906246837
