Model,R²,CBD Coef,MRT Coef,ΔR²
Model 1: CBD only,0.22652038715869205,-0.014613725708175119,,
Model 2: CBD + MRT,0.23432212859985146,-0.014457207311264706,-0.038119184719012426,0.0078017414411594155
Model 3: Full,0.49772435437775286,-0.019555524113609505,0.012232004915760097,0.2634022257779014
