Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
DAIRY FARM RESIDENCES,"1,117,300",710.42,"1,573",Aug-21,DAIRY FARM LANE,New Sale,Strata,66,"16,929",-,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05
LAKE GRANDE,"835,000",516.67,"1,616",Aug-21,JURONG LAKE LINK,Resale,Strata,48,"17,396",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,06 to 10
DAIRY FARM RESIDENCES,"1,174,900",710.42,"1,654",Aug-21,DAIRY FARM LANE,New Sale,Strata,66,"17,802",-,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10
DAIRY FARM RESIDENCES,"1,801,200","1,140.98","1,579",Aug-21,DAIRY FARM LANE,New Sale,Strata,106,"16,992",-,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
MIDWOOD,"1,066,000",635.08,"1,679",Aug-21,HILLVIEW RISE,New Sale,Strata,59,"18,068",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
DAIRY FARM RESIDENCES,"1,547,900",936.47,"1,653",Aug-21,DAIRY FARM LANE,New Sale,Strata,87,"17,792",-,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
MIDWOOD,"1,542,000",904.18,"1,705",Aug-21,HILLVIEW RISE,New Sale,Strata,84,"18,357",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,26 to 30
MIDWOOD,"993,000",548.96,"1,809",Aug-21,HILLVIEW RISE,New Sale,Strata,51,"19,471",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,26 to 30
MARTIN MODERN,"2,718,300","1,087.16","2,500",Aug-21,MARTIN PLACE,New Sale,Strata,101,"26,914",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
MARTIN MODERN,"2,726,800","1,087.16","2,508",Aug-21,MARTIN PLACE,New Sale,Strata,101,"26,998",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
MARTIN MODERN,"3,066,800","1,087.16","2,821",Aug-21,MARTIN PLACE,New Sale,Strata,101,"30,364",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
PARC ROSEWOOD,"670,000",602.78,"1,112",Aug-21,ROSEWOOD DRIVE,Resale,Strata,56,"11,964",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE VISION,"1,750,000","1,302.44","1,344",Aug-21,WEST COAST CRESCENT,Resale,Strata,121,"14,463",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,11 to 15
WATERBANK AT DAKOTA,"1,380,000",882.65,"1,563",Aug-21,DAKOTA CRESCENT,Resale,Strata,82,"16,829",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,16 to 20
TWIN VEW,"1,730,000","1,140.98","1,516",Aug-21,WEST COAST VALE,Sub Sale,Strata,106,"16,321",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,258,000",699.66,"1,798",Aug-21,HOUGANG AVENUE 2,New Sale,Strata,65,"19,354",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
