Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARKTOWN RESIDENCE,"2,655,000","1,162.51","2,284",Feb-25,TAMPINES STREET 62,New Sale,Strata,108,"24,583",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,372,000",592.02,"2,317",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"24,945",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,372,000",592.02,"2,317",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"24,945",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,422,000","1,065.64","2,273",Feb-25,TAMPINES STREET 62,New Sale,Strata,99,"24,465",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,453,000",592.02,"2,454",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"26,418",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,650,000",678.13,"2,433",Feb-25,TAMPINES STREET 62,New Sale,Strata,63,"26,190",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,379,000",592.02,"2,329",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,073",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,793,000",764.24,"2,346",Feb-25,TAMPINES STREET 62,New Sale,Strata,71,"25,254",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"2,681,000","1,162.51","2,306",Feb-25,TAMPINES STREET 62,New Sale,Strata,108,"24,824",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,666,000",678.13,"2,457",Feb-25,TAMPINES STREET 62,New Sale,Strata,63,"26,444",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,666,000",678.13,"2,457",Feb-25,TAMPINES STREET 62,New Sale,Strata,63,"26,444",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,393,000",592.02,"2,353",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,327",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,811,000",764.24,"2,370",Feb-25,TAMPINES STREET 62,New Sale,Strata,71,"25,507",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,400,000",592.02,"2,365",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,455",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,400,000",592.02,"2,365",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,455",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,829,000",764.24,"2,393",Feb-25,TAMPINES STREET 62,New Sale,Strata,71,"25,761",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,421,000",592.02,"2,400",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,836",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,502,000",592.02,"2,537",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"27,309",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,838,000",764.24,"2,405",Feb-25,TAMPINES STREET 62,New Sale,Strata,71,"25,887",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"1,428,000",592.02,"2,412",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,964",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"1,428,000",592.02,"2,412",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"25,964",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"1,706,000",678.13,"2,516",Feb-25,TAMPINES STREET 62,New Sale,Strata,63,"27,079",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"1,435,000",592.02,"2,424",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"26,091",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"1,435,000",592.02,"2,424",Feb-25,TAMPINES STREET 62,New Sale,Strata,55,"26,091",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
THE ORIE,"1,379,000",516.67,"2,669",Feb-25,LORONG 1 TOA PAYOH,New Sale,Strata,48,"28,729",-,Condominium,1,99 yrs lease commencing from 2024,12,Rest of Central Region,06 to 10
ELTA,"2,445,000",925.7,"2,641",Feb-25,CLEMENTI AVENUE 1,New Sale,Strata,86,"28,430",-,Apartment,1,99 yrs lease commencing from 2024,05,Outside Central Region,21 to 25
ELTA,"1,885,000",699.66,"2,694",Feb-25,CLEMENTI AVENUE 1,New Sale,Strata,65,"29,000",-,Apartment,1,99 yrs lease commencing from 2024,05,Outside Central Region,26 to 30
ELTA,"1,900,000",699.66,"2,716",Feb-25,CLEMENTI AVENUE 1,New Sale,Strata,65,"29,231",-,Apartment,1,99 yrs lease commencing from 2024,05,Outside Central Region,36 to 40
PARKTOWN RESIDENCE,"1,663,000",721.19,"2,306",Feb-25,TAMPINES STREET 62,New Sale,Strata,67,"24,821",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,421,000","1,076.4","2,249",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,210",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,633,000",678.13,"2,408",Feb-25,TAMPINES STREET 62,New Sale,Strata,63,"25,921",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,169,000",505.91,"2,311",Feb-25,TAMPINES STREET 62,New Sale,Strata,47,"24,872",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,671,000",721.19,"2,317",Feb-25,TAMPINES STREET 62,New Sale,Strata,67,"24,940",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,433,000","1,076.4","2,260",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,330",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"3,357,000","1,485.43","2,260",Feb-25,TAMPINES STREET 62,New Sale,Strata,138,"24,326",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,175,000",505.91,"2,323",Feb-25,TAMPINES STREET 62,New Sale,Strata,47,"25,000",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,679,000",721.19,"2,328",Feb-25,TAMPINES STREET 62,New Sale,Strata,67,"25,060",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,445,000","1,076.4","2,271",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,450",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,695,000",721.19,"2,350",Feb-25,TAMPINES STREET 62,New Sale,Strata,67,"25,299",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,469,000","1,076.4","2,294",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,690",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,481,000","1,076.4","2,305",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,810",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,711,000",721.19,"2,372",Feb-25,TAMPINES STREET 62,New Sale,Strata,67,"25,537",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"2,493,000","1,076.4","2,316",Feb-25,TAMPINES STREET 62,New Sale,Strata,100,"24,930",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
