Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE PANORAMA,"3,340,000","1,560.78","2,140",Apr-24,ANG MO KIO AVENUE 2,Resale,Strata,145,"23,034",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,16 to 20
CUSCADEN RESERVE,"3,088,000",936.47,"3,297",Apr-24,CUSCADEN ROAD,Resale,Strata,87,"35,494",-,Condominium,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
CUSCADEN RESERVE,"2,648,000",818.06,"3,237",Apr-24,CUSCADEN ROAD,Resale,Strata,76,"34,842",-,Condominium,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
EDELWEISS PARK CONDOMINIUM,"925,000",828.83,"1,116",Apr-24,FLORA ROAD,Resale,Strata,77,"12,013",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE SAIL @ MARINA BAY,"2,600,000","1,184.04","2,196",Apr-24,MARINA BOULEVARD,Resale,Strata,110,"23,636",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,61 to 65
TROPICAL SPRING,"1,500,000","1,334.74","1,124",Apr-24,SIMEI STREET 4,Resale,Strata,124,"12,097",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,01 to 05
STIRLING RESIDENCES,"1,850,000",764.24,"2,421",Apr-24,STIRLING ROAD,Resale,Strata,71,"26,056",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
TREASURE AT TAMPINES,"1,080,000",678.13,"1,593",Apr-24,TAMPINES LANE,Resale,Strata,63,"17,143",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
BEVERLY HILL,"9,200,000","3,778.16","2,435",Apr-24,GRANGE ROAD,Resale,Strata,351,"26,211",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
THE MEYERISE,"2,155,000",882.65,"2,442",Apr-24,MEYER ROAD,Resale,Strata,82,"26,280",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
