Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KOVAN RESIDENCES,"1,930,000","1,259.39","1,532",Jan-23,KOVAN ROAD,Resale,Strata,117,"16,496",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
ONE HOLLAND VILLAGE RESIDENCES,"3,054,060","1,097.93","2,782",Jan-23,HOLLAND VILLAGE WAY,New Sale,Strata,102,"29,942",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
ONE HOLLAND VILLAGE RESIDENCES,"3,054,060","1,097.93","2,782",Jan-23,HOLLAND VILLAGE WAY,New Sale,Strata,102,"29,942",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
ONE HOLLAND VILLAGE RESIDENCES,"3,100,000","1,097.93","2,824",Jan-23,HOLLAND VILLAGE WAY,New Sale,Strata,102,"30,392",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
ONE PEARL BANK,"3,077,000","1,216.33","2,530",Jan-23,PEARL BANK,New Sale,Strata,113,"27,230",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,21 to 25
RIVIERE,"3,680,000","1,140.98","3,225",Jan-23,JIAK KIM STREET,New Sale,Strata,106,"34,717",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,36 to 40
HERITAGE VIEW,"1,828,000","1,194.8","1,530",Jan-23,DOVER RISE,Resale,Strata,111,"16,468",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
MOOI RESIDENCES,"2,195,000",850.36,"2,581",Jan-23,HOLLAND ROAD,New Sale,Strata,79,"27,785",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
IMPERIAL HEIGHTS,"880,000",581.26,"1,514",Jan-23,IPOH LANE,Resale,Strata,54,"16,296",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE LANDMARK,"1,912,320",753.48,"2,538",Jan-23,CHIN SWEE ROAD,New Sale,Strata,70,"27,319",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,26 to 30
LEEDON GREEN,"1,598,000",538.2,"2,969",Jan-23,LEEDON HEIGHTS,New Sale,Strata,50,"31,960",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
LEEDON GREEN,"1,598,000",538.2,"2,969",Jan-23,LEEDON HEIGHTS,New Sale,Strata,50,"31,960",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
OKIO,"935,000",592.02,"1,579",Jan-23,BALESTIER ROAD,Resale,Strata,55,"17,000",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
WILSHIRE RESIDENCES,"3,543,000","1,270.15","2,789",Jan-23,FARRER ROAD,New Sale,Strata,118,"30,025",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
LEEDON GREEN,"1,419,000",473.62,"2,996",Jan-23,LEEDON HEIGHTS,New Sale,Strata,44,"32,250",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
REGENT GROVE,"1,155,000","1,259.39",917,Jan-23,CHOA CHU KANG NORTH 7,Resale,Strata,117,"9,872",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
WEST BAY CONDOMINIUM,"1,300,000","1,248.62","1,041",Jan-23,WEST COAST CRESCENT,Resale,Strata,116,"11,207",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
ECO SANCTUARY,"1,100,000",731.95,"1,503",Jan-23,CHESTNUT AVENUE,Resale,Strata,68,"16,176",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,21 to 25
THE TRE VER,"2,100,000","1,097.93","1,913",Jan-23,POTONG PASIR AVENUE 1,Sub Sale,Strata,102,"20,588",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15
KLIMT CAIRNHILL,"7,700,000","2,055.92","3,745",Jan-23,CAIRNHILL ROAD,New Sale,Strata,191,"40,314",-,Apartment,1,Freehold,09,Core Central Region,26 to 30
COSTA DEL SOL,"2,150,000","1,227.1","1,752",Jan-23,BAYSHORE ROAD,Resale,Strata,114,"18,860",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
RIVERGATE,"6,230,000","2,077.45","2,999",Jan-23,ROBERTSON QUAY,Resale,Strata,193,"32,280",-,Apartment,1,Freehold,09,Core Central Region,26 to 30
HIGH OAK CONDOMINIUM,"1,600,000","1,205.57","1,327",Jan-23,TOH TUCK ROAD,Resale,Strata,112,"14,286",-,Condominium,1,99 yrs lease commencing from 1996,21,Rest of Central Region,01 to 05
V ON SHENTON,"3,954,000","1,765.3","2,240",Jan-23,SHENTON WAY,Resale,Strata,164,"24,110",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,41 to 45
BUTTERWORTH 8,"2,330,000","1,313.21","1,774",Jan-23,BUTTERWORTH LANE,Resale,Strata,122,"19,098",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE CLEMENT CANOPY,"1,778,000",990.29,"1,795",Jan-23,CLEMENTI AVENUE 1,Resale,Strata,92,"19,326",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
TREASURE AT TAMPINES,"2,550,000","1,722.24","1,481",Jan-23,TAMPINES LANE,Sub Sale,Strata,160,"15,938",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE SERENNO,"1,280,000",775.01,"1,652",Jan-23,HAIG ROAD,Resale,Strata,72,"17,778",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"1,960,000","1,227.1","1,597",Jan-23,TANJONG RHU ROAD,Resale,Strata,114,"17,193",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
L'VIV,"1,355,000",613.55,"2,208",Jan-23,NEWTON ROAD,Resale,Strata,57,"23,772",-,Apartment,1,Freehold,11,Core Central Region,11 to 15
COMMONWEALTH TOWERS,"1,385,000",688.9,"2,010",Jan-23,COMMONWEALTH AVENUE,Resale,Strata,64,"21,641",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
SUITES 28,"605,000",430.56,"1,405",Jan-23,LORONG 30 GEYLANG,Resale,Strata,40,"15,125",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
OASIS @ ELIAS,"940,000",979.52,960,Jan-23,ELIAS ROAD,Resale,Strata,91,"10,330",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
DAINTREE RESIDENCE,"1,425,000",742.72,"1,919",Jan-23,TOH TUCK ROAD,Sub Sale,Strata,69,"20,652",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
THE BOUTIQ,"2,400,000","1,270.15","1,890",Jan-23,KILLINEY ROAD,Resale,Strata,118,"20,339",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
ONE TREE HILL MANSIONS,"2,100,000","1,614.6","1,301",Jan-23,ONE TREE HILL,Resale,Strata,150,"14,000",-,Apartment,1,99 yrs lease commencing from 1973,10,Core Central Region,11 to 15
SUNFLOWER VIEW,"1,175,000","1,011.82","1,161",Jan-23,LORONG 36 GEYLANG,Resale,Strata,94,"12,500",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
VACANZA @ EAST,"1,460,000","1,033.34","1,413",Jan-23,LENGKONG TUJOH,Resale,Strata,96,"15,208",-,Condominium,1,Freehold,14,Outside Central Region,11 to 15
