Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SKY EDEN@BEDOK,"1,868,888",742.72,"2,516",Jan-26,BEDOK CENTRAL,Sub Sale,Strata,69,"27,085",-,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,11 to 15
AVENUE SOUTH RESIDENCE,"2,390,000","1,108.69","2,156",Jan-26,SILAT AVENUE,Resale,Strata,103,"23,204",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,01 to 05
Q BAY RESIDENCES,"1,770,000","1,162.51","1,523",Jan-26,TAMPINES STREET 86,Resale,Strata,108,"16,389",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
18 SHELFORD,"3,838,000","1,872.94","2,049",Jan-26,SHELFORD ROAD,Resale,Strata,174,"22,057",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE ADDITION,"2,018,000",947.23,"2,130",Jan-26,MEYAPPA CHETTIAR ROAD,Resale,Strata,88,"22,932",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
PAVILION 11,"1,968,000",958,"2,054",Jan-26,AKYAB ROAD,Resale,Strata,89,"22,112",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
STIRLING RESIDENCES,"1,035,000",441.32,"2,345",Jan-26,STIRLING ROAD,Resale,Strata,41,"25,244",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
NORTH PARK RESIDENCES,"2,020,000","1,151.75","1,754",Jan-26,YISHUN CENTRAL 1,Resale,Strata,107,"18,879",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
THE COAST AT SENTOSA COVE,"3,228,888","2,055.92","1,571",Jan-26,OCEAN DRIVE,Resale,Strata,191,"16,905",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
ECO,"930,000",592.02,"1,571",Jan-26,BEDOK SOUTH AVENUE 3,Resale,Strata,55,"16,909",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
NORMANTON PARK,"1,540,000",775.01,"1,987",Jan-26,NORMANTON PARK,Sub Sale,Strata,72,"21,389",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
