Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PRIVE,"2,350,000","1,442.38","1,629",Jan-26,PUNGGOL FIELD,Resale,Strata,134,"17,537",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
THE TAMPINES TRILLIANT,"1,968,000","1,130.22","1,741",Jan-26,TAMPINES CENTRAL 7,Resale,Strata,105,"18,743",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
WATERCOLOURS,"1,505,000","1,237.86","1,216",Jan-26,PASIR RIS LINK,Resale,Strata,115,"13,087",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
YEW MEI GREEN,"1,290,000","1,291.68",999,Jan-26,CHOA CHU KANG NORTH 6,Resale,Strata,120,"10,750",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
RIVERCOVE RESIDENCES,"1,720,000","1,076.4","1,598",Jan-26,ANCHORVALE LANE,Resale,Strata,100,"17,200",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
SKYPARK RESIDENCES,"2,100,000","1,302.44","1,612",Jan-26,SEMBAWANG CRESCENT,Resale,Strata,121,"17,355",-,Executive Condominium,1,99 yrs lease commencing from 2013,27,Outside Central Region,11 to 15
SOL ACRES,"1,480,000",925.7,"1,599",Jan-26,CHOA CHU KANG GROVE,Resale,Strata,86,"17,209",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,16 to 20
TWIN WATERFALLS,"1,515,000",914.94,"1,656",Jan-26,PUNGGOL WALK,Resale,Strata,85,"17,824",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
OTTO PLACE,"1,522,000",871.88,"1,746",Jan-26,PLANTATION CLOSE,New Sale,Strata,81,"18,790",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
BELLEWOODS,"1,420,000","1,065.64","1,333",Jan-26,WOODLANDS AVENUE 5,Resale,Strata,99,"14,343",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
SOL ACRES,"1,270,000",871.88,"1,457",Jan-26,CHOA CHU KANG GROVE,Resale,Strata,81,"15,679",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,01 to 05
OTTO PLACE,"1,499,000",871.88,"1,719",Jan-26,PLANTATION CLOSE,New Sale,Strata,81,"18,506",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
SKYPARK RESIDENCES,"1,820,000","1,237.86","1,470",Dec-25,SEMBAWANG CRESCENT,Resale,Strata,115,"15,826",-,Executive Condominium,1,99 yrs lease commencing from 2013,27,Outside Central Region,01 to 05
PRIVE,"1,740,000","1,097.93","1,585",Dec-25,PUNGGOL FIELD,Resale,Strata,102,"17,059",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
BELLEWOODS,"1,085,000",785.77,"1,381",Dec-25,WOODLANDS AVENUE 5,Resale,Strata,73,"14,863",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
PARK GREEN,"1,788,000","1,496.2","1,195",Dec-25,RIVERVALE LINK,Resale,Strata,139,"12,863",-,Executive Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
SOL ACRES,"1,460,000",925.7,"1,577",Dec-25,CHOA CHU KANG GROVE,Resale,Strata,86,"16,977",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,16 to 20
OTTO PLACE,"1,442,000",871.88,"1,654",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"17,802",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
HUNDRED PALMS RESIDENCES,"1,830,000","1,044.11","1,753",Dec-25,YIO CHU KANG ROAD,Resale,Strata,97,"18,866",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
THE CANOPY,"1,320,000","1,184.04","1,115",Dec-25,YISHUN AVENUE 11,Resale,Strata,110,"12,000",-,Executive Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
WESTWOOD RESIDENCES,"1,500,888","1,033.34","1,452",Dec-25,WESTWOOD AVENUE,Resale,Strata,96,"15,634",-,Executive Condominium,1,99 yrs lease commencing from 2014,22,Outside Central Region,11 to 15
NORTHWAVE,"1,360,000","1,097.93","1,239",Dec-25,WOODLANDS VIEW,Resale,Strata,102,"13,333",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,01 to 05
OTTO PLACE,"1,516,000",871.88,"1,739",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"18,716",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
