Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EASTPOINT GREEN,"1,260,000","1,119.46","1,126",Apr-23,SIMEI STREET 3,Resale,Strata,104,"12,115",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
ONE SHENTON,"1,410,000",947.23,"1,489",Apr-23,SHENTON WAY,Resale,Strata,88,"16,023",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,11 to 15
FORESQUE RESIDENCES,"1,803,000","1,237.86","1,457",Apr-23,PETIR ROAD,Resale,Strata,115,"15,678",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
HILLION RESIDENCES,"800,000",462.85,"1,728",Apr-23,JELEBU ROAD,Resale,Strata,43,"18,605",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,11 to 15
DOUBLE BAY RESIDENCES,"1,200,000",936.47,"1,281",Apr-23,SIMEI STREET 4,Resale,Strata,87,"13,793",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
HIGH PARK RESIDENCES,"875,000",592.02,"1,478",Apr-23,FERNVALE ROAD,Resale,Strata,55,"15,909",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
RIVERBAY,"1,100,000",785.77,"1,400",Apr-23,MAR THOMA ROAD,Resale,Strata,73,"15,068",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,06 to 10
TREE HOUSE,"1,615,000","1,151.75","1,402",Apr-23,CHESTNUT AVENUE,Resale,Strata,107,"15,093",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"983,000",592.02,"1,660",Apr-23,TAMPINES LANE,Sub Sale,Strata,55,"17,873",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE GALE,"1,280,000","1,033.34","1,239",Apr-23,FLORA ROAD,Resale,Strata,96,"13,333",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
THE WATERSIDE,"4,380,000","2,400.37","1,825",Apr-23,TANJONG RHU ROAD,Resale,Strata,223,"19,641",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
1 MOULMEIN RISE,"2,380,000","1,237.86","1,923",Apr-23,MOULMEIN RISE,Resale,Strata,115,"20,696",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
WHISTLER GRAND,"812,888",441.32,"1,842",Apr-23,WEST COAST VALE,Sub Sale,Strata,41,"19,827",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
REGENT RESIDENCES,"745,888",409.03,"1,824",Apr-23,SERANGOON ROAD,Resale,Strata,38,"19,629",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
GOODWOOD RESIDENCE,"5,250,000","1,969.81","2,665",Apr-23,BUKIT TIMAH ROAD,Resale,Strata,183,"28,689",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
MIDTOWN RESIDENCES,"1,090,000",721.19,"1,511",Apr-23,UPPER SERANGOON ROAD,Resale,Strata,67,"16,269",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
IVORY HEIGHTS,"1,730,000","1,700.71","1,017",Apr-23,JURONG EAST STREET 13,Resale,Strata,158,"10,949",-,Condominium,1,100 yrs lease commencing from 1986,22,Outside Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"998,000","1,022.58",976,Apr-23,SIMEI RISE,Resale,Strata,95,"10,505",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
