planning_area,property_type,metric,pre_covid_value,covid_value,post_covid_value,whole_period_value,covid_impact_pct,recovery_pct
NEWTON,HDB,median_price,,4069000.0,3600000.0,3700000.0,0.0,0.0
NEWTON,HDB,median_psf,,2381.0,2582.0,2547.0,0.0,0.0
SINGAPORE RIVER,HDB,median_price,,1700000.0,2541000.0,2376000.0,0.0,0.0
SINGAPORE RIVER,HDB,median_psf,,2834.0,3003.0,2914.0,0.0,0.0
RIVER VALLEY,HDB,median_price,,2356000.0,2380000.0,2377050.0,0.0,0.0
RIVER VALLEY,HDB,median_psf,,2644.0,2825.0,2707.0,0.0,0.0
BUKIT BATOK,HDB,median_price,,1158500.0,1496000.0,1450000.0,0.0,0.0
BUKIT BATOK,HDB,median_psf,,1423.0,1507.0,1503.0,0.0,0.0
MUSEUM,HDB,median_price,,1525448.0,1823500.0,1799500.0,0.0,0.0
MUSEUM,HDB,median_psf,,2182.5,2608.5,2593.0,0.0,0.0
ORCHARD,HDB,median_price,,3600000.0,2619000.0,2667600.0,0.0,0.0
ORCHARD,HDB,median_psf,,3449.0,3166.0,3171.0,0.0,0.0
SOUTHERN ISLANDS,HDB,median_price,,3307590.0,3680000.0,3620200.0,0.0,0.0
SOUTHERN ISLANDS,HDB,median_psf,,1557.0,1812.0,1783.5,0.0,0.0
MANDAI,HDB,median_price,,1165000.0,1250000.0,1250000.0,0.0,0.0
MANDAI,HDB,median_psf,,757.0,930.5,911.0,0.0,0.0
MARINA SOUTH,HDB,median_price,,,1942891.0,1942891.0,0.0,0.0
MARINA SOUTH,HDB,median_psf,,,2952.0,2952.0,0.0,0.0
TENGAH,HDB,median_price,,,1574000.0,1574000.0,0.0,0.0
TENGAH,HDB,median_psf,,,1644.0,1644.0,0.0,0.0
