segment,n_samples,r2,mae,directional_acc
HDB,76387,0.7978181584806195,6.693484920396161,99.36507520913244
Mass Market,16626,0.8555073465125206,6.696679758625448,96.43931192108745
Mid Market,51592,0.7257645942282485,93.37069573980519,94.24523181888665
Luxury,2073,0.30066706657249453,83.80005513814623,92.28171731789678
EC,10014,0.9845599813502097,4.569968461539019,97.11404034351906
